500 50000
291 455 574
335 233 952
111 104 561
195 279 44
68 72 187
392 50 300
121 210 970
215 24 755
475 218 942
120 273 370
243 125 254
272 409 864
482 293 184
34 464 898
390 159 138
441 411 186
210 203 374
470 319 11
277 391 482
385 425 324
53 206 712
333 335 433
142 78 827
471 57 149
401 320 87
237 164 456
365 225 775
0 103 366
132 459 712
188 210 465
285 81 760
68 263 328
411 130 807
317 222 649
297 461 622
40 371 277
25 217 813
0 10 924
280 254 77
41 315 252
248 33 13
460 284 856
84 176 511
198 183 962
462 180 569
100 474 662
228 264 549
306 295 774
488 314 66
431 343 210
489 300 70
489 290 332
376 449 349
142 215 215
498 114 628
151 280 643
391 77 445
295 242 660
136 36 880
189 8 179
84 351 289
72 442 480
306 396 156
335 313 557
92 188 867
223 361 695
152 233 450
407 87 584
155 43 920
373 49 886
499 448 593
144 191 242
210 460 143
193 80 122
252 103 233
40 459 895
217 461 811
91 310 630
258 124 49
83 446 819
65 117 726
340 326 163
297 17 982
116 94 629
457 149 851
98 302 667
257 125 629
285 172 462
284 177 1000
168 323 865
403 190 167
71 16 847
140 421 67
402 84 852
119 364 71
49 177 130
358 208 810
348 390 524
80 340 629
7 477 542
299 389 150
428 45 712
253 331 393
484 214 987
426 3 950
258 378 656
120 103 745
335 110 25
442 8 22
87 113 745
30 293 843
393 424 711
233 381 545
420 76 44
158 293 710
457 363 991
363 118 49
312 203 718
401 183 732
299 286 246
392 337 440
120 418 339
78 404 867
349 353 836
266 279 257
304 323 91
187 335 442
486 123 508
303 432 524
286 417 712
44 207 676
88 37 462
427 147 46
274 220 356
275 288 302
428 371 611
189 402 267
191 385 844
30 482 163
299 93 320
462 210 53
336 78 527
318 431 605
416 482 386
40 470 290
10 429 591
96 386 670
353 376 764
229 227 895
224 92 816
85 376 904
46 498 470
236 160 797
473 391 173
346 421 255
49 372 131
355 460 206
41 19 689
77 379 885
404 35 665
461 372 723
321 464 600
370 100 113
418 250 820
286 376 768
441 471 187
56 207 78
303 4 80
243 186 125
231 261 798
248 378 770
234 29 751
130 171 542
258 271 615
81 245 284
268 180 381
158 425 18
77 425 351
150 209 144
204 456 935
256 297 292
50 119 438
272 393 178
436 76 861
30 12 936
146 81 402
448 79 24
487 300 747
293 410 849
245 406 229
147 110 11
48 201 401
257 279 513
399 17 430
451 148 539
162 146 715
253 403 498
334 245 317
262 276 300
2 20 331
386 205 799
94 345 39
15 114 880
134 490 561
268 204 522
