1000 75000
969 298 735
257 333 244
677 680 64
12 456 969
233 155 290
606 538 498
523 824 758
523 694 427
458 970 494
331 896 758
882 74 513
399 211 445
663 133 846
532 890 86
413 111 891
790 360 223
296 767 677
784 215 634
14 890 752
722 705 429
479 753 918
613 539 17
71 981 977
223 437 360
211 133 732
76 52 281
257 13 355
233 377 273
519 989 838
296 486 578
965 600 744
745 530 390
468 949 647
498 12 658
887 524 260
341 493 301
911 587 425
448 213 60
272 901 949
308 3 607
285 966 773
990 379 19
662 638 645
82 697 48
184 323 184
334 208 276
92 668 55
953 334 862
986 885 743
648 538 571
937 386 941
392 100 916
261 772 865
578 927 235
86 5 241
739 47 68
342 327 959
893 437 450
511 230 943
603 842 900
162 711 59
824 55 491
451 84 63
315 467 660
452 470 935
425 736 584
413 518 731
540 843 386
109 676 960
207 271 706
296 989 172
713 987 844
261 250 658
646 116 672
652 430 872
35 595 374
994 163 979
855 241 832
365 951 775
413 604 258
754 671 845
334 638 501
826 183 578
700 912 887
285 402 737
348 735 901
444 553 510
609 853 681
399 317 257
323 592 579
282 694 307
392 754 871
857 546 720
132 844 129
921 545 564
434 847 870
352 590 79
0 911 693
758 327 90
183 275 763
620 305 587
894 100 128
284 801 516
962 235 697
129 991 490
560 141 330
833 105 553
9 530 597
371 240 755
504 550 831
377 543 75
222 364 189
835 624 712
7 148 216
506 554 825
684 261 446
921 469 754
289 87 666
941 349 845
917 755 777
839 583 679
881 461 782
742 138 49
9 306 91
660 180 403
734 312 735
834 514 313
249 228 917
999 318 35
892 430 412
458 90 873
148 910 91
694 537 435
352 806 433
348 671 548
386 524 663
268 931 909
2 469 234
437 420 160
869 841 689
568 337 100
472 119 815
875 233 190
10 41 444
825 630 313
413 727 974
859 802 60
931 923 607
731 468 21
384 310 446
843 327 520
51 425 362
46 934 631
622 885 867
634 457 551
756 482 104
546 621 935
441 122 177
404 775 610
345 858 71
371 911 937
727 646 143
213 504 467
220 544 704
276 544 138
992 689 212
596 197 535
759 191 531
595 989 127
26 988 88
610 611 80
262 998 716
755 921 558
331 748 301
472 510 145
73 159 690
52 96 122
438 217 656
369 934 696
335 155 359
732 796 712
954 965 694
262 653 606
911 877 95
641 748 680
893 616 507
277 658 685
525 553 159
176 434 862
864 537 799
627 443 604
36 726 755
166 492 127
109 746 837
809 40 951
83 839 687
496 765 586
701 520 127
212 77 423
428 352 787
580 7 484
608 702 30
625 591 761
615 593 795
197 698 565
956 151 89
676 424 126
866 144 417
321 117 945
421 61 15
520 559 640
995 562 762
907 518 704
921 51 44
784 876 376
109 171 483
247 420 870
480 894 792
864 248 967
482 397 622
404 435 622
66 33 354
432 467 336
475 974 455
52 606 381
672 65 101
441 537 702
198 822 853
222 362 710
29 751 226
565 196 739
582 549 454
540 987 427
406 999 848
675 893 86
380 103 217
796 15 468
582 712 232
440 469 58
922 489 185
182 118 668
706 462 188
96 749 40
862 28 749
647 208 262
255 857 607
994 48 59
880 374 727
784 931 836
46 954 56
873 575 142
158 918 878
57 926 596
730 924 266
897 397 706
343 993 493
712 314 524
334 55 731
351 178 747
16 3 222
800 997 646
243 491 253
558 544 408
527 48 324
367 164 73
377 577 801
152 293 938
568 889 857
972 343 16
471 580 230
626 53 734
466 556 728
606 135 269
540 72 978
622 737 389
243 369 260
680 981 996
427 875 562
374 49 478
438 647 560
437 466 826
178 689 646
822 808 598
502 758 771
597 428 708
503 677 595
451 691 249
226 130 863
307 747 212
363 669 473
914 252 80
789 814 49
765 690 631
142 222 874
868 108 635
228 310 723
774 818 629
442 669 751
822 822 500
419 231 17
571 193 131
952 497 183
615 346 80
720 689 733
766 840 477
397 133 994
763 809 682
145 936 419
901 716 900
67 135 93
788 27 780
463 216 839
344 528 213
195 475 17
943 323 829
76 853 489
796 850 900
999 464 132
310 670 245
582 835 693
505 744 161
694 933 31
38 875 796
518 186 813
474 540 306
6 506 126
673 442 401
94 35 420
7 531 446
344 698 531
777 735 554
425 479 248
603 217 501
23 234 681
261 341 105
752 765 252
737 884 36
13 237 781
781 576 597
659 634 553
239 417 323
650 270 266
449 328 510
373 160 557
149 676 776
739 408 696
358 315 753
404 552 576
304 228 468
271 324 327
963 970 813
897 982 345
115 934 639
192 142 27
998 278 210
776 416 627
363 442 804
63 575 224
163 77 981
817 903 297
82 900 771
686 331 871
586 6 533
513 109 131
118 426 650
601 31 472
100 352 453
968 507 335
23 101 875
725 155 700
524 902 466
796 761 761
564 902 665
305 755 49
662 634 754
953 420 403
820 511 583
739 47 664
725 58 716
535 881 67
480 190 726
598 807 982
889 938 316
753 752 379
414 547 370
427 604 311
283 488 833
200 416 649
183 652 25
114 88 787
822 654 879
752 529 647
168 405 819
398 319 211
485 849 886
796 856 569
375 325 924
623 166 220
867 724 313
253 381 283
324 663 720
738 554 734
552 161 214
691 478 832
321 266 229
173 898 602
770 693 129
34 109 170
457 685 447
927 670 65
913 996 977
901 283 202
267 109 721
108 970 996
321 750 850
462 780 192
773 392 238
911 525 720
80 619 613
830 763 104
109 215 960
445 449 999
244 973 312
589 577 987
834 484 127
239 942 616
265 584 918
569 941 927
723 725 28
612 711 469
597 695 119
428 808 803
861 410 281
492 519 770
526 489 930
966 895 202
336 361 381
4 50 627
545 279 511
658 354 452
995 616 315
791 961 112
758 124 176
839 113 398
974 452 253
233 518 726
628 558 866
636 488 771
17 366 712
944 589 308
421 740 764
674 586 184
957 216 243
519 915 184
826 422 574
861 922 663
66 511 366
269 228 608
146 226 414
893 539 863
608 539 980
891 989 113
710 284 740
349 586 45
469 118 527
867 393 138
83 808 276
13 386 702
616 737 662
437 686 86
329 693 960
246 851 500
529 645 688
948 696 891
556 156 861
231 716 474
329 540 539
22 70 418
213 431 697
757 262 398
159 676 413
428 115 349
927 243 136
28 467 877
238 839 658
879 779 902
642 267 881
783 787 365
151 597 183
514 48 764
625 663 57
658 493 612
811 87 730
598 951 667
828 223 622
178 342 74
256 596 498
117 548 268
965 916 705
423 763 679
958 321 968
129 898 641
393 548 883
127 628 942
635 119 837
810 243 136
138 220 83
107 747 68
23 511 15
374 824 390
777 631 66
358 484 618
473 137 850
818 103 873
767 418 378
424 113 731
596 224 955
600 556 271
221 252 32
467 423 263
306 491 487
629 264 564
121 193 777
529 906 652
937 532 670
511 155 179
828 937 494
324 57 120
940 830 76
227 176 751
795 262 979
126 904 194
739 290 604
954 521 343
492 680 462
983 342 219
714 474 528
210 951 593
708 663 885
882 852 99
579 280 170
652 776 116
614 9 12
73 546 657
746 209 705
893 395 19
425 589 799
380 862 384
79 801 314
549 849 112
94 640 295
673 762 654
109 142 369
127 294 117
99 575 928
921 508 608
884 491 691
489 605 365
529 365 252
663 164 41
396 441 113
932 925 148
468 815 584
746 896 258
837 909 452
51 696 836
190 538 354
637 428 778
710 357 292
396 92 291
955 201 839
944 955 687
334 144 165
329 419 907
167 767 501
144 677 508
155 370 126
532 808 602
404 264 591
546 378 303
920 711 11
589 35 219
27 682 917
4 761 993
634 5 935
656 812 899
100 796 424
143 486 546
403 505 390
552 31 24
382 476 826
348 885 408
985 415 574
60 981 925
265 718 21
419 461 890
996 978 1000
685 46 931
760 867 603
834 549 763
805 915 989
330 764 900
855 812 738
513 439 250
267 266 108
150 427 190
601 207 303
17 777 229
364 757 761
268 401 926
250 799 626
581 76 512
706 342 937
739 148 440
482 725 770
106 58 127
384 523 902
418 873 876
633 477 897
931 828 614
539 119 337
751 148 288
319 342 47
844 305 42
256 820 891
709 752 592
731 368 951
881 493 449
688 29 161
73 867 597
648 817 239
103 243 644
853 791 828
622 146 664
848 756 943
46 15 387
721 299 834
344 35 909
997 372 51
788 313 536
675 322 615
747 678 29
892 198 692
586 362 975
396 20 16
358 970 70
42 854 475
161 822 408
418 771 215
144 922 495
675 126 673
169 153 826
692 598 799
614 305 118
543 887 138
802 807 300
733 498 190
854 368 227
57 571 83
980 317 904
982 314 768
179 260 348
621 71 515
124 578 761
149 999 464
149 353 164
166 732 760
557 535 501
687 761 106
185 753 189
37 228 305
693 463 689
48 80 740
434 800 192
945 627 977
318 37 240
529 676 992
292 625 111
921 247 562
382 157 264
507 394 275
417 667 422
42 294 637
305 143 49
818 312 214
134 904 741
412 281 659
140 449 530
726 571 691
237 582 76
150 208 74
855 180 959
56 911 556
735 903 725
335 11 880
846 235 302
792 447 252
61 433 686
555 487 900
424 377 799
314 677 300
506 730 546
114 841 390
929 388 860
199 635 894
553 624 93
612 771 231
117 20 461
451 172 871
5 361 981
731 594 437
64 361 586
345 656 505
621 904 641
33 416 949
317 190 937
891 976 958
323 513 529
468 133 708
780 431 686
801 502 989
383 67 693
333 361 823
670 735 319
66 531 964
776 601 561
870 396 476
754 604 629
151 858 473
113 944 779
825 907 311
614 612 875
685 42 67
409 877 508
229 784 908
334 305 836
373 866 591
740 797 230
357 627 311
44 503 572
92 742 229
239 98 458
995 894 240
343 440 516
186 248 42
392 176 532
311 839 966
830 171 753
989 926 203
42 494 748
875 492 739
148 977 904
236 575 375
494 58 191
794 324 66
500 572 165
736 486 343
697 627 154
218 481 745
154 508 906
660 904 542
840 791 50
62 465 657
754 682 662
90 690 335
947 284 117
182 365 965
609 290 123
419 353 775
987 745 807
491 157 161
487 338 597
413 305 548
712 432 584
792 421 929
64 958 992
879 546 139
968 586 141
180 251 937
615 759 254
36 723 667
409 11 399
964 706 421
728 581 25
436 916 293
961 119 472
52 990 164
568 80 961
420 996 979
860 692 696
401 403 808
510 259 625
973 809 713
278 675 875
859 213 917
807 376 911
10 128 534
432 100 13
214 405 544
689 151 254
533 889 618
636 329 747
102 551 694
761 699 883
302 186 915
456 635 646
683 483 570
582 631 228
924 396 521
493 974 474
113 790 103
428 92 344
911 403 996
989 320 976
281 816 458
793 610 99
103 636 649
413 817 391
880 591 383
837 721 972
680 317 906
503 738 708
23 84 930
536 909 490
62 854 394
462 44 508
738 246 172
815 239 656
400 416 511
404 280 431
648 57 893
756 556 30
397 583 700
0 274 893
995 272 675
870 817 950
886 268 999
801 284 857
832 780 733
360 665 225
430 663 395
636 378 536
278 219 660
303 600 853
316 251 791
504 17 829
967 343 579
198 501 875
682 293 279
952 580 123
193 159 84
949 624 267
911 137 207
196 302 631
652 676 242
819 405 746
565 308 67
255 949 409
672 409 941
299 770 426
420 355 973
553 827 346
109 872 238
899 897 390
142 423 101
715 234 577
713 591 887
283 800 378
997 288 150
438 968 707
201 405 966
767 55 629
211 864 848
731 847 19
402 259 175
561 378 442
175 588 21
284 47 933
956 186 281
476 623 601
208 981 278
65 44 824
572 302 948
374 650 841
325 431 745
340 878 728
45 349 465
873 836 186
204 986 884
849 561 755
536 444 538
787 966 205
503 22 474
938 961 414
908 338 18
746 656 48
827 992 149
148 483 660
94 769 657
740 999 515
691 540 858
382 34 664
958 782 684
565 167 718
527 690 319
591 261 517
594 573 768
854 894 649
149 783 532
645 599 654
867 720 956
893 479 572
428 132 547
718 979 763
396 629 683
431 604 537
518 57 393
643 938 964
678 188 970
719 604 19
951 880 443
754 938 840
537 518 182
349 637 438
944 288 918
907 246 427
3 918 475
772 36 602
357 670 266
539 409 516
805 570 35
164 324 351
377 378 528
509 220 75
353 766 214
620 379 750
624 172 102
420 157 758
105 29 559
289 509 310
368 351 53
161 623 711
693 72 508
258 607 127
811 318 568
522 816 644
342 239 196
220 642 247
646 363 357
403 685 22
844 880 634
731 379 705
973 148 59
418 845 541
565 463 701
979 329 856
505 221 828
461 217 693
187 484 114
327 665 149
299 425 755
925 567 252
570 30 455
967 176 768
160 761 769
773 368 552
671 919 330
151 909 130
904 558 958
81 11 326
226 963 668
158 524 746
216 742 269
737 997 209
107 740 482
693 183 149
529 842 904
572 476 231
680 771 419
579 774 389
198 280 722
72 173 362
620 414 649
719 536 169
580 594 41
745 559 417
703 108 515
288 437 610
778 820 721
456 686 621
731 856 412
286 323 224
977 390 504
100 934 709
586 176 371
388 952 661
547 509 107
637 136 93
106 34 902
908 872 649
412 1 86
624 530 756
683 319 987
327 198 93
619 733 149
453 407 396
268 7 299
468 448 198
505 823 142
529 322 164
577 540 225
834 944 807
610 65 373
907 212 753
141 770 776
210 935 394
892 454 177
317 267 645
591 571 111
589 690 849
955 797 588
536 715 898
175 880 854
231 611 42
699 724 153
239 464 262
384 991 816
397 817 704
337 59 559
41 549 503
381 915 460
372 630 919
509 288 837
43 22 528
932 968 852
994 259 294
882 789 708
442 881 767
265 882 202
954 769 834
924 166 827
129 572 743
61 965 351
677 975 454
833 701 312
646 833 444
856 477 668
549 219 94
225 505 588
83 881 299
111 523 68
546 202 275
557 955 575
44 823 769
930 29 428
984 211 355
574 936 895
25 164 55
766 529 970
495 85 848
37 255 469
794 883 408
639 725 518
363 264 301
498 123 579
374 242 385
463 454 105
779 40 832
620 724 66
599 610 574
843 803 548
954 597 333
130 556 766
518 239 772
392 973 956
53 190 326
236 266 174
353 593 378
114 43 105
839 54 28
270 120 169
732 374 964
959 284 237
194 173 377
899 638 229
266 57 660
334 600 252
538 454 755
576 944 888
301 248 202
217 119 670
252 542 840
410 863 420
211 912 34
537 151 269
89 27 516
338 539 434
366 356 340
250 860 36
236 197 354
983 679 915
179 980 412
815 391 238
644 964 461
10 928 128
306 883 644
327 948 651
629 454 83
537 609 932
918 946 614
30 361 575
460 952 606
918 777 260
412 164 866
489 400 719
662 30 926
502 162 888
798 513 697
231 123 980
757 301 578
262 513 23
743 773 251
477 474 824
844 656 94
704 49 407
901 46 407
290 819 638
615 23 353
362 73 105
286 328 602
379 112 79
213 307 435
635 999 179
577 13 624
915 128 975
968 665 185
885 864 485
579 713 712
913 791 835
25 314 669
833 114 579
88 46 284
209 956 217
430 929 43
20 903 785
333 270 529
875 137 816
16 227 660
633 638 271
283 423 685
631 760 763
137 964 22
935 377 222
828 491 859
450 33 496
358 970 76
11 984 886
592 454 624
448 516 643
79 740 384
739 320 941
334 513 917
131 951 583
764 292 867
426 200 136
613 678 674
938 2 131
586 391 485
812 424 498
953 308 959
619 965 963
934 445 587
539 468 890
896 332 798
995 170 607
531 270 567
268 143 479
125 357 510
400 546 668
394 811 871
448 56 290
436 967 910
206 767 790
757 827 978
245 74 369
48 355 341
38 176 72
207 363 161
374 681 859
498 886 437
698 602 617
401 920 369
78 169 104
268 419 937
251 728 595
17 937 24
80 394 970
259 595 382
498 938 629
59 880 30
989 501 136
329 754 952
305 608 120
812 368 767
34 809 789
455 446 814
496 842 695
14 307 459
390 525 457
12 640 256
857 463 627
872 734 161
341 808 258
47 818 969
383 967 855
857 7 946
772 491 358
304 423 759
519 704 17
820 192 852
400 206 943
20 132 844
196 880 275
498 294 776
703 185 117
492 784 200
991 461 525
737 631 564
876 439 130
762 935 909
627 659 897
915 808 648
814 801 970
789 649 850
336 657 369
384 293 798
25 908 505
319 416 113
335 636 872
596 554 483
885 838 135
451 839 378
583 503 312
44 18 878
428 580 403
61 223 500
558 909 743
196 183 444
370 449 409
4 561 388
765 235 254
401 919 688
395 937 520
946 256 28
153 813 969
613 577 982
330 634 724
680 380 805
466 74 773
198 916 944
699 504 976
917 957 198
206 941 408
390 925 728
870 501 246
13 899 659
976 602 161
110 868 556
155 635 707
577 476 577
230 25 830
73 945 909
261 695 817
388 763 148
138 503 38
415 661 800
280 355 765
83 389 523
361 495 395
851 798 551
864 578 575
419 48 300
121 645 648
616 18 236
715 840 755
408 655 940
595 720 582
127 400 496
460 424 179
676 512 322
4 605 672
503 725 436
604 821 835
74 513 413
486 590 97
930 231 934
439 112 430
174 766 177
964 556 125
736 911 299
387 619 838
629 271 686
793 341 304
956 593 20
629 743 112
714 792 927
922 994 384
257 395 968
217 904 461
194 512 75
929 844 940
487 67 822
117 163 299
948 200 172
144 792 345
292 587 160
763 87 802
300 388 442
427 138 32
710 955 929
565 873 238
870 240 472
422 671 280
516 535 983
623 799 96
330 286 170
582 280 651
269 310 230
766 954 511
916 136 558
827 47 947
90 911 140
292 768 343
12 223 193
410 750 911
716 365 511
993 106 589
994 921 924
917 426 818
82 116 469
651 879 810
755 599 139
853 504 920
117 288 522
508 903 556
190 972 149
379 846 650
906 408 531
904 373 819
531 553 723
870 512 895
268 556 754
354 602 243
209 849 628
951 227 123
30 728 38
560 269 822
237 69 465
244 731 960
938 236 670
777 380 39
49 361 204
240 860 539
375 182 229
665 817 446
452 304 93
284 910 284
901 445 557
285 940 511
857 843 493
683 585 868
344 369 27
414 476 176
915 636 740
979 977 818
793 271 677
524 546 354
318 719 537
755 876 885
475 433 814
485 443 558
327 468 962
709 132 534
710 692 170
592 245 732
2 7 765
130 198 706
872 504 85
799 60 48
531 177 545
182 943 888
317 790 288
541 822 370
727 996 563
914 762 456
251 991 538
619 441 190
955 938 891
564 264 188
775 317 84
149 722 38
835 19 916
193 893 271
646 204 779
917 549 945
732 541 364
788 919 397
264 493 889
829 399 619
623 656 882
219 119 871
444 749 795
492 868 653
798 20 448
263 705 783
434 66 896
251 513 368
354 523 518
245 815 797
725 583 143
986 643 784
64 783 125
825 657 100
295 72 883
187 258 345
329 119 186
454 811 155
749 215 335
910 333 310
528 841 441
406 186 641
881 614 945
856 671 697
437 496 130
179 122 555
872 506 770
305 349 303
911 414 827
435 389 857
